"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Emad Sharaki","Alexandria, Al Iskandariyah, Egypt","Egypt","Africa-based","exact_public","Food Delivery, Food and Beverage","Pre-Seed","Egypt","https://www.linkedin.com/in/emadsharaki","","","https://shizune.co/investors/angel-investors-egypt","","WPMU DEV","https://wpmudev.com/","Official linked site title","company_or_firm_site"
"Emilian Popa","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Financial Services, Apps, Travel","Seed, Series A, Series B","Egypt, South Africa, United States","https://www.linkedin.com/in/emilianpopa","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","http://www.digameinvestment.com","","public_website"
"Emilie Choi","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Software","Series A, Seed, Pre-Seed","United States, Mexico, Singapore","https://www.linkedin.com/in/emiliechoi","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Emmanuel Okeleji","","","Unresolved","unresolved","Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/dr-emmanuel-okeleji-722077b","","","https://shizune.co/investors/fintech-angel-investors-nigeria","","","","",""
"Enagwolor Johnny","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Delivery, Logistics, Mobile Apps","Pre-Seed","Nigeria","https://www.linkedin.com/in/johnny-enagwolor-99b83766","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Eric Glyman","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Software, Information Technology, Financial Services","Seed, Series A, Angel, Series B","United States, Canada, Mexico","https://www.linkedin.com/in/eglyman","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Eric Idiahi","","","Unresolved","unresolved","Dental, FinTech, Finance","Seed, Pre-Seed","India, Nigeria","https://www.linkedin.com/in/eric-idiahi-b9b7b629","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Eric Nadalin","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, SaaS, Financial Services","Seed, Pre-Seed","United Kingdom, United States, Nigeria","http://uk.linkedin.com/in/enadalin","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Eric Okechukwu","Port Harcourt, Rivers, Nigeria","Nigeria","Africa-based","exact_public","Music, Publishing, Music Label, Music and Audio, Content/Publishing, Media and Entertainment","Seed","Nigeria","https://www.linkedin.com/in/eric-okechukwu-8097a0218","","","https://shizune.co/investors/media-entertainment-angel-investors-africa","","","https://6xslattofficial.xyz","","public_website"
"Eric Osiakwan","Accra, Greater Accra, Ghana","Ghana","Africa-based","exact_public","Finance, Payments, Software","Pre-Seed","Uganda","https://www.linkedin.com/in/ericosiakwan","","","https://shizune.co/investors/angel-investors-uganda","","","","",""
"Erik Peterson","Chicago, Illinois, United States","United States","Diaspora / outside Africa","exact_public","Software, Biotechnology, SaaS","Seed, Equity Crowdfunding, Series A","United States, Canada, Algeria","https://www.linkedin.com/in/companygardener","","","https://shizune.co/investors/angel-investors-algeria","","","","",""
"Ezra Olubi","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Banking, FinTech, Financial, Privacy/Security","Seed, Pre-Seed","Nigeria, United States","https://www.linkedin.com/in/cfezra","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Faisal Al-Abdulsalam","Riyadh, Ar Riyad, Saudi Arabia","Saudi Arabia","Diaspora / outside Africa","exact_public","E-Commerce, FinTech, Payments","Seed, Pre-Seed","Egypt, Saudi Arabia, United Kingdom","https://www.linkedin.com/in/faisal-al-abdulsalam","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Faisal Alabdelsalam","Riyadh, Ar Riyad, Saudi Arabia","Saudi Arabia","Diaspora / outside Africa","exact_public","Consulting, Information Technology","Seed","Saudi Arabia","https://www.linkedin.com/in/faisal-al-abdulsalam","","","https://shizune.co/investors/angel-investors-egypt","","Linktree","https://linktr.ee/falabdulsalam","Official linked site metadata","company_or_firm_site"
"Farouk Kadous","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","SaaS, Shipping, Logistics","Seed","Egypt, Singapore","https://www.linkedin.com/in/fkk","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Federico Pirzio-Biroli","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, Venture Capital, Non Profit","Seed, Angel, Pre-Seed","United Kingdom, Kenya, Sweden","https://www.linkedin.com/in/federicopirziobiroli","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Fejiro Hanu Agbodje","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Education, Blockchain, Communities","Pre-Seed, Seed","Rwanda, United States","https://www.linkedin.com/in/fejiro-hanu-agbodje-4b71a517b","","","https://shizune.co/investors/edtech-angel-investors-africa","","","https://www.mypatricia.co/ceo.html","","public_website"
"Ferdinand Von Kalm","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","FinTech, Internet, Price Comparison","Seed","Nigeria","http://www.linkedin.com/pub/ferdinand-von-kalm/6/176/7b8","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Florian Resatsch","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","Apps, FinTech, Internet","Seed","Germany, Nigeria","http://www.linkedin.com/in/resatsch","","","https://shizune.co/investors/internet-angel-investors-nigeria","","","","",""
"Fola Laoye","Lagos, Nigeria","Nigeria","Africa-based","inferred_public","Medical, Hospital, Health Care","Seed","Nigeria","https://ng.linkedin.com/pub/fola-laoye/35/a98/77","","","https://shizune.co/investors/health-care-angel-investors-africa","","","","",""
"Folabi Esan","","","Unresolved","unresolved","FinTech, Mobile Payments, AgTech","Pre-Seed, Series A, Series B","Germany, Nigeria, United Kingdom","https://ng.linkedin.com/pub/folabi-esan/0/238/b7b","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Frederik Gerner","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","B2C, Life Science, Information Technology, Biotechnology, Electrical Distribution","Seed, Angel, Funding Round, Series A","South Africa, The Netherlands","https://www.linkedin.com/in/frederik-gerner-98b80718","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Fredrik Jung Abbou","Stockholm, Stockholms Lan, Sweden","Sweden","Diaspora / outside Africa","exact_public","Food and Beverage, Apps, Grocery","Pre-Seed, Seed","Kenya, Sweden, Germany","https://www.linkedin.com/in/fredrik-jung-abbou-43829611","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"G&uuml;imar Vaca Sittic","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Software, Internet","Seed, Series A, Series B","United States, Germany, United Kingdom","https://www.linkedin.com/in/g%C3%BCimar-vaca-sittic-5a878621","","","https://shizune.co/investors/enterprise-angel-investors-africa","","","https://www.guimar.xyz","","public_website"
"Gabriel Hammond","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Internet, Wireless, FinTech, Mobile, Hardware","Seed, Series A","Nigeria, United States","https://www.linkedin.com/in/gabriel-hammond-173a17a4","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Gary Scheft","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Hardware, Telecommunications, Enterprise Software","Seed","Kenya","https://www.linkedin.com/in/gary-scheft-b699798","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Gbenga Ajayi","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Payments, Financial Services","Seed, Series A, Series B","Egypt, Zambia, Nigeria","https://www.linkedin.com/in/gbengaajayi","","","https://shizune.co/investors/angel-investors-zambia","","","","",""
"Gbenga Oyebode","","","Unresolved","unresolved","Financial Services, FinTech, Finance","Pre-Seed, Seed","Nigeria, United States, United Kingdom","https://www.linkedin.com/in/gbenga-oyebode","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Gbite Oduneye","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Financial Exchanges, Software, Education, Financial","Seed, Pre-Seed, Series A","Nigeria, United Kingdom, Rwanda","https://linkedin.com/in/gbiteoduneye","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Geoffrey D Fink","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Payments, Point of Sale","Seed","South Africa","https://www.linkedin.com/in/geoffrey-fink-a0a67","","","https://shizune.co/investors/angel-investors-south-africa","Public business email retained after QA","Incentrum","https://www.incentrumgroup.com/","Official linked site metadata","company_or_firm_site"
"George Godula","Shanghai, Shanghai, China","China","Diaspora / outside Africa","exact_public","Health Care, Information Technology, Mobile","Seed, Series A, Series B","United States, China, Algeria","https://www.linkedin.com/in/georgegodula","","","https://shizune.co/investors/angel-investors-algeria","","","","",""
"Greg Waldorf","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Real Estate, Internet","Seed, Series A, Series B","United States, Brazil, Nigeria","http://www.linkedin.com/in/gregwaldorf","","","https://shizune.co/investors/health-care-angel-investors-africa","","","","",""
"Gregory Rockson","Ghana, Ebonyi, Nigeria","Nigeria","Africa-based","exact_public","FinTech, Finance, Consumer","Seed, Pre-Seed","Kenya, Nigeria","https://www.linkedin.com/in/gregory-rockson-43804449","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Guilherme Steinbruch","Madrid, Madrid, Spain","Spain","Diaspora / outside Africa","exact_public","Financial Services, Food and Beverage, FinTech, Music, Real Estate, Blockchain","Seed, Pre-Seed, Series A, Angel","Ireland, Mexico, Brazil, Philippines, South Africa","https://www.linkedin.com/in/guilherme-steinbruch-683ba551","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Guillaume Amblard","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, Banking, FinTech","Seed, Funding Round, Series A","France, United Kingdom, Tunisia","https://www.linkedin.com/in/guillaume-amblard-b7b20a38","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Guillaume Glaunès","Hong Kong, Hong Kong Island, Hong Kong","Hong Kong","Diaspora / outside Africa","exact_public","Software, E-Commerce, Apps","Seed, Funding Round, Pre-Seed","United Kingdom, United States, Kenya","https://www.linkedin.com/in/guillaume-glaunes","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Guillaume Leenhardt","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","AgTech, InsurTech, Mobile Payments","Seed","Mali","https://www.linkedin.com/in/guillaume-leenhardt-05017042","","","https://shizune.co/investors/insurtech-angel-investors-africa","","","","",""
"Gustavo Fuchs","","","Unresolved","unresolved","Transportation, Apps, Internet","Seed","Egypt, Bangladesh","https://www.linkedin.com/in/gustavofuchs","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Güimar Vaca Sittic","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Software, Internet","Seed, Series A, Series B","United States, Germany, United Kingdom","https://www.linkedin.com/in/g%C3%BCimar-vaca-sittic-5a878621","","","https://shizune.co/investors/transportation-angel-investors-africa","","","https://www.guimar.xyz","","public_website"
"Hadeer Shalaby","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","Medical, Psychology, Health Care","Convertible Note","Egypt","https://eg.linkedin.com/in/hadeer-shalaby-30304435","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Hakeem Belo-Osagie","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","FinTech, Finance, Financial Services","Seed","Nigeria","https://www.linkedin.com/in/hakeem-belo-osagie-8338b719b","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Ham Serunjogi","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Mobile Apps, Financial Services, FinTech, Software, Apps, Mobile","Seed, Pre-Seed, Series A","Nigeria, United States, South Africa","https://www.linkedin.com/in/hamserunjogi","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Hamad Alhomaizi","","","Unresolved","unresolved","Financial Services","Seed","Kenya","https://www.linkedin.com/in/hamadalhomaizi","","","https://shizune.co/investors/financial-services-angel-investors-kenya","","","","",""
"Hedi Ketari","","","Unresolved","unresolved","Taxi Service","Angel","Tunisia","https://uk.linkedin.com/in/hedi-ketari","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Helena Riese Harstad","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Travel, Tourism, Venture Capital","Pre-Seed","Kenya","https://www.linkedin.com/in/helena-riese-harstad-262a30a","","","https://shizune.co/investors/financial-services-angel-investors-kenya","","","","",""
"Henry Allard","","","Unresolved","unresolved","AgTech, InsurTech, Mobile Payments","Seed","Mali","https://www.linkedin.com/in/henry-allard","","","https://shizune.co/investors/insurtech-angel-investors-africa","","","","",""
"Hesham Zreik","Dubai, Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","Information Technology, Software, Artificial Intelligence","Seed, Pre-Seed, Series A","United States, India, Nigeria","https://www.linkedin.com/in/heshamzreik","","","https://shizune.co/investors/angel-investors-nigeria","Public business email retained after QA","FasterCapital","http://www.fastercapital.com/","Official linked site metadata","company_or_firm_site"
"Hiroaki Ohta","","","Unresolved","unresolved","Information Technology, Quantum Computing, Energy, Big Data","Seed, Series A, Convertible Note","Japan, Kenya","https://www.linkedin.com/in/hiroaki-ohta-b7463433","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Honey Ogundeyi","","","Unresolved","unresolved","Bitcoin, FinTech, Ethereum","Pre-Seed","Nigeria, United States","https://www.linkedin.com/in/honeyogundeyi","","","https://shizune.co/investors/insurtech-angel-investors-africa","","","http://www.honeyogundeyi.com/","","personal_site"
"Ian McCaig","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Travel, Tourism, Venture Capital","Seed","Kenya","https://www.linkedin.com/in/ian-mccaig-b8264","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Ibrahim Bello","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Health Care, Pharmaceutical, Virtualization","Pre-Seed","Nigeria","https://linkedin.com/HisOracleBellz","","","https://shizune.co/investors/health-care-angel-investors-africa","","234hypes","http://234hypes.com/","Official linked site domain","company_or_firm_site"
"Idris Ayodeji Bello","Houston, United States","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Financial Services, Mobile Apps, Commerce/Shopping, Financial","Angel, Seed, Pre-Seed","Nigeria, United States, Egypt","https://www.linkedin.com/in/belloidris","","","https://shizune.co/investors/angel-investors-egypt","","Loftyinccapital","http://www.loftyinccapital.vc/","Official linked site domain","company_or_firm_site"
"Ilkka Paananen","Helsinki, Southern Finland, Finland","Finland","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, FinTech","Seed, Series A, Pre-Seed","Finland, United States, United Kingdom","http://www.linkedin.com/in/ilkkapaananen","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Immad Akhund","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Financial Services","Seed, Pre-Seed, Series A","United States, India, Brazil","http://www.linkedin.com/in/iakhund","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Iqram Magdon-Ismail","","","Unresolved","unresolved","Information Technology, iOS, Accounting","Seed, Angel","United States, South Africa","https://www.linkedin.com/in/iqram-magdon-ismail-803511184","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Ire Aderinokun","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Software, Ticketing, Mobile Apps, Apps, Events","Pre-Seed","Nigeria, Germany","https://www.linkedin.com/in/iaderinokun","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Isaac Ewaleifoh","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Finance, InsurTech","Pre-Seed","Nigeria, United States","https://www.linkedin.com/in/isaacewaleifoh","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Isaac Oates","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Health Care, B2B, Telehealth","Seed, Grant","United States, France, South Africa","https://www.linkedin.com/in/ioates","","","https://shizune.co/investors/edtech-angel-investors-africa","","","","",""
"Iyinoluwa Aboyeji","","","Unresolved","unresolved","Information Technology, Software, Artificial Intelligence","Seed, Pre-Seed, Series A","United States, Nigeria, South Africa","https://www.linkedin.com/in/eaboyeji","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Jackson Kibigo","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Billing, Software, Business Development","Pre-Seed","Kenya","https://www.linkedin.com/in/jacksonkibigo","","","https://shizune.co/investors/fintech-angel-investors-kenya","","","","",""
"Jag Singh","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","Software, FinTech, Artificial Intelligence","Pre-Seed, Seed, Angel","Germany, United Kingdom, United States","https://www.linkedin.com/in/jagsingh85","","","https://shizune.co/investors/angel-investors-zambia","","","https://jag.eu/","","personal_site"
"Jai Mahtani","","","Unresolved","unresolved","Credit, FinTech, InsurTech","Seed, Angel","United States","https://www.linkedin.com/in/jaimahtani","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Jambu Palaniappan","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","SaaS, Customer Service, FinTech","Series A, Series B, Seed","Egypt, France, Belgium","https://www.linkedin.com/in/jambu-palaniappan-7358211a","","","https://shizune.co/investors/marketplace-angel-investors-egypt","","","","",""
"James Park","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Internet, SaaS","Seed, Pre-Seed, Series A, Funding Round","United States, United Kingdom, Chile","http://www.linkedin.com/pub/james-park/0/821/765","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","Google Store","https://store.google.com:443/category/watches_trackers?hl=en-US&utm_source=fitbit_redirect&utm_medium=google_ooo&utm_campaign=category","Official linked site metadata","company_or_firm_site"
"Jared Schrieber","Budapest, Budapest, Hungary","","Unresolved","exact_public","Software, Information Technology, Hospitality","Seed, Pre-Seed, Series A","Hungary, United States, Spain","http://www.linkedin.com/in/jaredschrieber","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Jason Finger","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Software, Apps, Internet","Seed, Series A, Funding Round","United States, Egypt","https://www.linkedin.com/in/jasonfinger","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Jean Case","Washington, District of Columbia, United States","United States","Diaspora / outside Africa","exact_public","TV, Energy, Mobile","Funding Round, Series B, Seed","United States, Kenya","https://www.linkedin.com/in/jean-case-bb31725","","","https://shizune.co/investors/energy-angel-investors-africa","","","","",""
"Jean-Paul Zammitt","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Retail, Fashion","Seed","South Africa","https://www.linkedin.com/in/jp-zammitt","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Jean-Pierre Mondalek","Dubai, Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","FinTech, Payments, Point of Sale","Seed","South Africa","https://www.linkedin.com/in/jpmondalek","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Jeff Dean","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","Artificial Intelligence, Information Technology, Software","Seed, Series A, Pre-Seed","United States, United Kingdom, Japan","http://www.linkedin.com/pub/jeff-dean/55/125/8b2","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Jeffrey Katzenberg","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Financial Services, SaaS, Software, Information Technology","Seed, Series A, Series C, Series B","United States, Egypt, Spain","https://www.linkedin.com/in/jeffrey-katzenberg-4b3b47123","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","https://www.wndrco.com/","","public_website"
"Jeremy Cai","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Software, Information Technology","Seed, Pre-Seed, Angel","United States, India, Kenya","https://www.linkedin.com/in/jeremyhcai","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Jesper Drescher","Copenhagen, Hovedstaden, Denmark","Denmark","Diaspora / outside Africa","exact_public","SaaS, Gaming, Content","Seed, Angel","Kenya, Denmark","https://www.linkedin.com/in/jesper-vesten-drescher-2201a81","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Jessica Chervin","","","Unresolved","unresolved","Social Network","Seed","Kenya","https://www.linkedin.com/in/jessica-chervin-888486b","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Jihed Othmani","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","SMS, VoIP, Mobile","Series A","Senegal","https://www.linkedin.com/in/jihed-othmani-8b732736","","","https://shizune.co/investors/mobile-angel-investors-senegal","","","","",""
"Jim Chu","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Solar, Water, Energy","Seed, Angel, Pre-Seed","United States, Uganda, Nigeria","https://www.linkedin.com/in/jchu45","","","https://shizune.co/investors/energy-angel-investors-africa","","","","",""
"Jim Sorenson","","","Unresolved","unresolved","Gaming, Banking, FinTech","Seed, Funding Round","United States, Kenya","https://www.linkedin.com/in/james-shears-07a467a","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Jim Villanueva","Santa Barbara, California, United States","United States","Diaspora / outside Africa","exact_public","Agriculture, Energy, Travel","Series A, Series B, Seed","Kenya, Uganda, Zambia","https://www.linkedin.com/in/jim-villanueva-9667788","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Joachim Lecrivain","","","Unresolved","unresolved","Cryptocurrency, Marketplace, Blockchain","Seed, Series C, Series A","United States, United Kingdom, China","https://www.linkedin.com/in/joachimle","","","https://shizune.co/investors/mobile-angel-investors-africa","","","","",""
"Joe Caruso","Boston, Massachusetts, United States","United States","Diaspora / outside Africa","exact_public","Software, Internet, SaaS","Seed, Pre-Seed, Series A","United States, France, Israel","https://www.linkedin.com/in/joecaruso2020","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Johan Bosini","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Financial Services, FinTech, AgTech","Seed, Series A, Series B","South Africa, Egypt, Turkey","https://www.linkedin.com/in/johanbosini","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Johan Lorenzen","Copenhagen, Hovedstaden, Denmark","Denmark","Diaspora / outside Africa","exact_public","FinTech, Banking, Internet","Seed, Pre-Seed","Denmark, United States, Finland","https://www.linkedin.com/in/johanlorenzen","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"John Obaro","","","Unresolved","unresolved","E-Commerce, Marketplace, Food and Beverage","Seed","Nigeria","https://www.linkedin.com/in/john-tani-obaro-75a8a5","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Johnny Falla","","","Unresolved","unresolved","Social Network","Seed","Kenya","https://www.linkedin.com/in/johnnyfalla","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Jon Gosier","Atlanta, Georgia, United States","United States","Diaspora / outside Africa","exact_public","Software, Music, Analytics","Pre-Seed, Seed, Angel","United States, Uganda","http://linkedin.com/in/jongos","","","https://shizune.co/investors/saas-angel-investors-uganda","","","http://gosier.org","","public_website"
"Jon Oringer","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Health Care","Seed, Pre-Seed, Series A","United States, France, United Kingdom","http://www.linkedin.com/in/shutterstock","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","https://sentermedis.com","","public_website"
"Jonas Huckestein","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Banking, Internet, Logistics","Seed, Pre-Seed","United Kingdom, Tanzania","http://www.linkedin.com/in/jonashuckestein","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Jonathan Doerr","","","Unresolved","unresolved","Credit, Retail, FinTech","Seed, Angel, Debt Financing","United States, United Arab Emirates","https://www.linkedin.com/in/dr-jonathan-doerr-60b0a334","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Jonathan Shipman","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","eSports, Beauty, Internet","Seed, Pre-Seed, Equity Crowdfunding","United States, Nigeria, Singapore","https://www.linkedin.com/in/jshipman","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Jonathan Wasserstrum","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Real Estate, Software, FinTech","Seed, Pre-Seed, Series A","United States, Canada, Mexico","http://www.linkedin.com/pub/jonathan-wasserstrum/3/753/8a7","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Jorn Lyseggen","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","Retail, Software, E-Commerce","Seed","Ghana, United States","https://www.linkedin.com/in/j%C3%B8rn-lyseggen-1146301","","","https://shizune.co/investors/marketplace-angel-investors-africa","","","","",""
"Josh Buckley","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Internet","Seed, Series A, Series B","United States, United Kingdom, Ghana","http://www.linkedin.com/pub/josh-buckley/4/228/761","buckleyjosh@gmail.com","https://joshbuckley.com/","https://shizune.co/investors/angel-investors-ghana","Public business email retained after QA","","https://joshbuckley.com/","","personal_site"
"Josh Jones","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","3D Printing, Software, Internet","Seed, Pre-Seed, Angel","United States, Nigeria","https://www.linkedin.com/pub/josh-jones/3/91a/44a","","","https://shizune.co/investors/digital-media-angel-investors-africa","","","","",""
"Josh Sandler","","","Unresolved","unresolved","E-Commerce","Seed","Kenya","https://www.linkedin.com/in/sandlerja","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Juan Pablo Ortega","Mexico City, Distrito Federal, Mexico","Mexico","Diaspora / outside Africa","exact_public","Restaurants, Financial Services, Banking","Seed, Series A","Brazil, Nigeria, Colombia","https://www.linkedin.com/in/juanpabloom","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Jude Gomila","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Biotechnology, Information Technology","Seed, Pre-Seed, Angel","United States, United Kingdom, Canada","https://www.linkedin.com/in/judegomila","","","https://shizune.co/investors/angel-investors-morocco","","","http://www.judegomila.com/","","personal_site"
"Julian Shapiro","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, E-Commerce, SaaS","Seed, Pre-Seed, Angel","United States, Bangladesh, Pakistan","https://www.linkedin.com/in/juliandeanshapiro","","","https://shizune.co/investors/b2b-angel-investors-africa","","","https://www.julian.com/","","personal_site"
"Julien Guth","","","Unresolved","unresolved","Customer Service","Seed","Senegal","https://www.linkedin.com/in/julien-guth-1368b6","","","https://shizune.co/investors/angel-investors-senegal","","","","",""
"Justin Caldbeck","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Mobile, Transportation","Seed, Series A, Series B","United States, India, Kenya","https://www.linkedin.com/in/justincaldbeck","","","https://shizune.co/investors/marketplace-angel-investors-kenya","","","","",""
"Justin Kan","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Financial Services, SaaS, E-Commerce","Seed, Series A, Pre-Seed, Funding Round","United States, Nigeria, India","https://www.linkedin.com/in/justinkan","","","https://shizune.co/investors/angel-investors-nigeria","","","http://justinkan.com","","public_website"
